user,in_degree,out_degree,betweenness,pagerank
@bangtanokay,0.0012153621779290229,0.0,0.0,0.0016574519176706197
@LupitaChoi17,0.00267379679144385,0.0,0.0,0.0014746128596705402
@karamioo8110,0.0024307243558580457,0.0,0.0,0.0013464356683244869
@diksha9045,0.002187651920272241,0.0,0.0,0.0013037099378758023
@usbshrimp202,0.0009722897423432182,0.0,0.0,0.0012574192336757236
@ilr6086,0.0012153621779290229,0.0,0.0,0.0011693799695562542
@meiq1245,0.0012153621779290229,0.00024307243558580456,5.318871675838174e-07,0.0011693799695562542
@mishuarmy9144,0.0004861448711716091,0.0,0.0,0.001153192710776113
@cikgufaridah423,0.0012153621779290229,0.0,0.0,0.0011153258556898735
@sugaiseverything7525,0.0019445794846864365,0.00024307243558580456,4.727885934078377e-07,0.0011114441508567226
@lailahp9462,0.0009722897423432182,0.0,0.0,0.0010952568920765816
@chutttttttttttt,0.0009722897423432182,0.0,0.0,0.0010852224102699355
@mientrastantoenbolivia8700,0.0017015070491006319,0.0,0.0,0.001047355555183696
@rinaMomon,0.0012153621779290229,0.0,0.0,0.0010191929621803336
@anawithana8160,0.0017015070491006319,0.0,0.0,0.0009832669595106693
@angeldelight55,0.0017015070491006319,0.0,0.0,0.0009832669595106693
@agk2433,0.0009722897423432182,0.0,0.0,0.0009330945504774394
@infinitybts1830,0.0017015070491006319,0.0,0.0,0.000931996082972248
@kimaytadz123,0.0014584346135148273,0.0,0.0,0.0009191783638376425
@SurbhiSharma-bd2pu,0.0014584346135148273,0.0,0.0,0.0009191783638376425
@Btsrmygirl,0.0014584346135148273,0.0,0.0,0.0009191783638376425
@vanilla7544,0.0007292173067574136,0.0,0.0,0.0009029911050575017
@theju3809,0.0012153621779290229,0.0,0.0,0.0008991094002243508
@btbtbts8461,0.0017015070491006319,0.0,0.0,0.0008807252064338266
@yeonjeons7485,0.00024307243558580456,0.0,0.0,0.0008728876596375637
@orenjeruks,0.0007292173067574136,0.0,0.0,0.0008589714729977669
@jjk1874,0.0014584346135148273,0.00024307243558580456,3.545914450558783e-07,0.000855089768164616
@l9015,0.0014584346135148273,0.00024307243558580456,3.545914450558783e-07,0.000855089768164616
@alda1704.,0.0014584346135148273,0.0,0.0,0.0008093121998267398
@strongpowerthankyou2935,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@shemarquematthewsirachisra9753,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@alicegles1552,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@rosebud1644,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@mmeryemm777,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@irenazakharova9942,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@TiffaniCoston,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@jkurniawan71,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@박눋욀,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@_irya-chan_1513,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@gildda2502,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@deimanteganyte1904,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@kalyanipatil5594,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@stanikon,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@yashibasanil123,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@milkyjamss_,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@straberrymuffintiramisu,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@EchoSiera,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@minyoongi-bt6lq,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@Pepsi-01i,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@giannavelezmoreira1582,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@rapmonsdimple7596,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@Daphaag,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@cafwcitou.u4986,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@InelIzel,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@naizwan,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@Jin.Pink.Slipper,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@sugayoongi4962,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@blabre,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@libardoisaza,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@beli1627,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@mmaantj,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@kimchieunbtstxt7241,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@elviazhuang5024,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@aAArXxAz0003,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@prizamp2390,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@KH-zc2hy,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@raissasilva103,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@jijiela2300,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@Xx_y0ur_d4d_xX,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@kaciajayde9405,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@AshleySmith-bo7kp,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@wintermelon8305,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@BArmy-tx3jm,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@jiminbarks13,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@aaliyah6490,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@bambi3932,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@Delfinovillanuevaa,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@tigerlilytk,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@Trang-md4dp,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@lakshitasharma5884,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@ulal.7147,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@irissinclair6751,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@krl001,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@shiwtb,0.0012153621779290229,0.0,0.0,0.0007910011724915893
@ehsansabir,0.0012153621779290229,0.0,0.0,0.0007856054195648758
@MINIMIOON,0.0009722897423432182,0.0,0.0,0.0007608977270716515
@みな-g4y,0.0007292173067574136,0.0,0.0,0.0007508632452650055
@JuliAnna-ry6wm,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@rahima9547,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@han7685,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@hayatofficial7526,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@factsonly2013,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@SinClairexx,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@bidyamaharana4096,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@parkgimmy4225,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@Liam-n5j,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@daesangforjinsugahopimonij9922,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@daegalseomma2097,0.0012153621779290229,0.0,0.0,0.0007269125768185627
@DanisbelMuro,0.0012153621779290229,0.00024307243558580456,2.9549287087989856e-07,0.0007269125768185627
@lesleythomas1133,0.0012153621779290229,0.0,0.0,0.0006756417002801414
@budilesmana5203,0.0007292173067574136,0.0,0.0,0.0006655411745287416
@sarxta2261,0.0009722897423432182,0.0,0.0,0.000662823981145536
@k.m4411,0.0009722897423432182,0.0,0.0,0.000662823981145536
@kokochen5754,0.0009722897423432182,0.0,0.0,0.000662823981145536
@SP123526,0.0009722897423432182,0.0,0.0,0.000662823981145536
@borahae8106,0.0009722897423432182,0.0,0.0,0.000662823981145536
@TYLabelsLoveARMY,0.0009722897423432182,0.0,0.0,0.000662823981145536
@leo-sb2fn,0.0009722897423432182,0.0,0.0,0.000662823981145536
@afrozabegum7789,0.0009722897423432182,0.0,0.0,0.000662823981145536
@multimillionaire2744,0.0009722897423432182,0.0,0.0,0.000662823981145536
@MariaGarcia-un3lp,0.0009722897423432182,0.0,0.0,0.000662823981145536
@tvisharaghuram4863,0.0009722897423432182,0.0,0.0,0.000662823981145536
@oscarloo2,0.0009722897423432182,0.0,0.0,0.000662823981145536
@graceluckey1444,0.0009722897423432182,0.0,0.0,0.000662823981145536
@jungkookonut8261,0.0009722897423432182,0.0,0.0,0.000662823981145536
@cristinafabbro3542,0.0009722897423432182,0.0,0.0,0.000662823981145536
@scarlet2324,0.0009722897423432182,0.0,0.0,0.000662823981145536
@hobisbutter9422,0.0009722897423432182,0.0,0.0,0.000662823981145536
@sisibenzo8232,0.0009722897423432182,0.0,0.0,0.000662823981145536
@soulie2865,0.0009722897423432182,0.0,0.0,0.000662823981145536
@patchcipriano6849,0.0009722897423432182,0.0,0.0,0.000662823981145536
@belbel4611,0.0009722897423432182,0.0,0.0,0.000662823981145536
@KANA-me3up,0.0009722897423432182,0.0,0.0,0.000662823981145536
@putudithaangelineswastyp4473,0.0009722897423432182,0.0,0.0,0.000662823981145536
@daniagonza4060,0.0009722897423432182,0.0,0.0,0.000662823981145536
@btsnochu3878,0.0009722897423432182,0.0,0.0,0.000662823981145536
@majocastillo5074,0.0009722897423432182,0.0,0.0,0.000662823981145536
@tadguerrero7851,0.0009722897423432182,0.0,0.0,0.000662823981145536
@Sp1rit19,0.0009722897423432182,0.0,0.0,0.000662823981145536
@amyrose646,0.0009722897423432182,0.0,0.0,0.000662823981145536
@sikeziato2133,0.0009722897423432182,0.0,0.0,0.000662823981145536
@michellenathalia2488,0.0012153621779290229,0.0,0.0,0.000662823981145536
@myjinster,0.0009722897423432182,0.0,0.0,0.000662823981145536
@blessyferrerbtsislifeu112,0.0009722897423432182,0.0,0.0,0.000662823981145536
@furyrasya23,0.0009722897423432182,0.0,0.0,0.000662823981145536
@drakaina8513,0.0009722897423432182,0.0,0.0,0.000662823981145536
@hinkyt25,0.0012153621779290229,0.0,0.0,0.000662823981145536
@jubnfim,0.0009722897423432182,0.0,0.0,0.000662823981145536
@heartsoul5760,0.0009722897423432182,0.0,0.0,0.000662823981145536
@bts-taeyeonstan2928,0.0009722897423432182,0.0,0.0,0.000662823981145536
@sree5591,0.0009722897423432182,0.0,0.0,0.000662823981145536
@iambouchra1696,0.0009722897423432182,0.0,0.0,0.000662823981145536
@dedeblack9868,0.0009722897423432182,0.0,0.0,0.000662823981145536
@Julia-wl8ef,0.0009722897423432182,0.0,0.0,0.000662823981145536
@neooen1150,0.0009722897423432182,0.0,0.0,0.000662823981145536
@sovereignawold7700,0.0009722897423432182,0.0,0.0,0.000662823981145536
@AYAyoungmin,0.0009722897423432182,0.0,0.0,0.000662823981145536
@sarletcross5281,0.0009722897423432182,0.0,0.0,0.000662823981145536
@vanishasingh7658,0.0009722897423432182,0.0,0.0,0.000662823981145536
@bunbun6898,0.0009722897423432182,0.00024307243558580456,2.3639429670391885e-07,0.000662823981145536
@Stephsksjs,0.0009722897423432182,0.0,0.0,0.000662823981145536
@이승미-m5t,0.0009722897423432182,0.0,0.0,0.000662823981145536
@taekookdionx-1454,0.0009722897423432182,0.0,0.0,0.000662823981145536
@KookieTae9795,0.0009722897423432182,0.0,0.0,0.000662823981145536
@vaishnavig7777,0.0009722897423432182,0.0,0.0,0.000662823981145536
@soulfeelinga7966,0.0009722897423432182,0.0,0.0,0.000662823981145536
@okayimdone5957,0.0009722897423432182,0.0,0.0,0.000662823981145536
@deshawall6389,0.0009722897423432182,0.0,0.0,0.000662823981145536
@shawnssexymuffins8636,0.0009722897423432182,0.0,0.0,0.000662823981145536
@siruchan4965,0.0009722897423432182,0.0,0.0,0.000662823981145536
@user-ps9bj8iz1i,0.0012153621779290229,0.0,0.0,0.000662823981145536
@gracelledeguzman,0.0009722897423432182,0.0,0.0,0.000662823981145536
@totetofe2730,0.0009722897423432182,0.0,0.0,0.000662823981145536
@dibakarsengupta4947,0.0009722897423432182,0.0,0.0,0.000662823981145536
@armysarmy2740,0.0009722897423432182,0.0,0.0,0.000662823981145536
@actualllybts6,0.0009722897423432182,0.0,0.0,0.000662823981145536
@jimenasampayo9194,0.0009722897423432182,0.0,0.0,0.000662823981145536
@Uvkp-v4r,0.0009722897423432182,0.0,0.0,0.000662823981145536
@Nnadelle,0.0009722897423432182,0.0,0.0,0.000662823981145536
@trituc9409,0.0009722897423432182,0.0,0.0,0.000662823981145536
@thatonebuttononkookiesshir8934,0.0009722897423432182,0.0,0.0,0.000662823981145536
@CrazyBoy-dd1eg,0.0009722897423432182,0.0,0.0,0.000662823981145536
@keepcalmandstanot7.724,0.0009722897423432182,0.0,0.0,0.000662823981145536
@simi323,0.0009722897423432182,0.0,0.0,0.000662823981145536
@rayden_anims,0.0009722897423432182,0.0,0.0,0.000662823981145536
@jismayani6596,0.0009722897423432182,0.0,0.0,0.000662823981145536
@abby61,0.0009722897423432182,0.0,0.0,0.000662823981145536
@duien670,0.0009722897423432182,0.0,0.0,0.000662823981145536
@thalia3346,0.0009722897423432182,0.0,0.0,0.000662823981145536
@silvermist1364,0.0009722897423432182,0.0,0.0,0.000662823981145536
@adouanihabiba6691,0.0009722897423432182,0.0,0.0,0.000662823981145536
@leesarang3464,0.0009722897423432182,0.0,0.0,0.000662823981145536
@crazyunacorns5282,0.0009722897423432182,0.0,0.0,0.000662823981145536
@AngelOf2PM66,0.0009722897423432182,0.0,0.0,0.000662823981145536
@kiaradeiros5606,0.0009722897423432182,0.0,0.0,0.000662823981145536
@지인-j1s,0.0009722897423432182,0.0,0.0,0.000662823981145536
@edithhernandez7850,0.0009722897423432182,0.0,0.0,0.000662823981145536
@LL-ql8qf,0.0009722897423432182,0.0,0.0,0.000662823981145536
@alessamin6674,0.0009722897423432182,0.0,0.0,0.000662823981145536
@FDSKKKKKKKKJKJ,0.0009722897423432182,0.0,0.0,0.000662823981145536
@bgtnrmy-8901,0.0009722897423432182,0.0,0.0,0.000662823981145536
